"airportName","state","aid","airportCode"
"RICHARD LLOYD JONES JR ARPT","Oklahoma",222,"none"
"HEWANORRA ST LUCIA","N/A",223,"none"
"BUTLER COUNTY REGIONAL","Ohio",224,"none"
"SPRINGFIELD-BRANSON NATIONAL","Missouri",225,"none"
"ABRAHAM LINCOLN CAPITAL ARPT","Illinois",226,"none"
"BUCHOLZ AAF MARSHALL","Prince Edward Island",227,"none"
"CENTRAL NEBRASKA REGIONAL","Nebraska",228,"none"
"TAMPA INTL","Florida",229,"none"
"WORCESTER REGIONAL","Massachusetts",230,"none"
"MEMORIAL FIELD","Arkansas",231,"none"
"KAHULUI ARPT","Hawaii",232,"none"
"SANTIAGO INTL","N/A",233,"none"
"OAKLAND COUNTY INTL","Michigan",234,"none"
"JOHN C TUNE ARPT","Tennessee",235,"none"
"FORT LAUDERDALE EXECUTIVE ARPT","Florida",236,"none"
"L F WADE INTL ARPT","N/A",237,"none"
"MELBOURNE INTL","Florida",238,"none"
"BISMARCK MUNICIPAL ARPT","North Dakota",239,"none"
"MINOT INTL AIRPORT","North Dakota",240,"none"
"SLIDELL AIRPORT","Louisiana",241,"none"
"WALLBLAKE","N/A",242,"none"
"GREAT FALLS INTL","Montana",243,"none"
"BRAINERD-CROW WING","Minnesota",244,"none"
"BLUE GRASS ARPT","Kentucky",245,"none"
"ROGUE VALLEY INTL","Oregon",246,"none"
"STUTTGART MUNICIPAL ARPT","Arkansas",247,"none"
"LAWTON-FORT SILL REGIONAL ARPT","Oklahoma",248,"none"
"YAMPA VALLEY","Colorado",249,"none"
"COLONEL JAMES JABARA ARPT","Kansas",250,"none"
"MIDLAND INTL","Texas",251,"none"
"MALCOLM MCKINNON ARPT","Georgia",252,"none"
"MILLARD ARPT","Nebraska",253,"none"
"ROCK COUNTY","Wisconsin",254,"none"
"MARTIN STATE ARPT","Maryland",255,"none"
"BUCHANAN FLD","California",256,"none"
"BOIRE FIELD","New Hampshire",257,"none"
"VALDOSTA REGIONAL","Georgia",258,"none"
"MANASSAS REGIONAL ARPT","Virginia",259,"none"
"ERIE INTL","Pennsylvania",260,"none"
"CINCINNATI MUNI ARPT-LUNKEN FIELD","Ohio",261,"none"
"SACRAMENTO MATHER ARPT","California",262,"none"
"LUIS MUNOZ MARIN INTL -SAN JUAN","Puerto Rico",263,"none"
"MOLOKAI ARPT","Hawaii",264,"none"
"MCGHEE TYSON ARPT","Tennessee",265,"none"
"ST. PETERSBURG/CLEARWATER INTL","Florida",266,"none"
"GRANT COUNTY ARPT","Washington",267,"none"
"TORONTO/LESTER B. PEARSON INTL","Ontario",268,"none"
"DANE COUNTY REGIONAL ARPT-TRUAX FLD","Wisconsin",269,"none"
"EDWARD G PITKA SR ARPT","Alaska",270,"none"
"UNIV OF ILLINOIS -WILLARD ARPT","Illinois",271,"none"
"ELKO REGIONAL ARPT","Nevada",272,"none"
"DEKALB-PEACHTREE ARPT","Georgia",273,"none"
"CHICAGO EXECUTIVE ARPT","Illinois",274,"none"
"FLORENCE REGIONAL","South Carolina",275,"none"
"NORWOOD MEMORIAL ARPT","Massachusetts",276,"none"
"LIVERMORE MUNICIPAL ARPT","California",277,"none"
"ROCKY MOUNT WILSON RGNL ARPT","North Carolina",278,"none"
"TULSA INTL","Oklahoma",279,"none"
"BATON ROUGE METRO","Louisiana",280,"none"
"WILLOUGHBY LOST NATION MUNI ARPT","Ohio",281,"none"
"WILKES-BARRE/SCRANTON INTL","Pennsylvania",282,"none"
"HENDERSON FIELD","Prince Edward Island",283,"none"
"FALLS INTL ARPT","Minnesota",284,"none"
"LUBBOCK INTL","Texas",285,"none"
"AUGUSTA STATE","Maine",286,"none"
"WILMINGTON INTL","North Carolina",287,"none"
"JUNEAU INTL ARPT","Alaska",288,"none"
"RENO TAHOE INTL","Nevada",289,"none"
"ST AUGUSTINE","Florida",290,"none"
"MONTGOMERY REGIONAL ARPT","Alabama",291,"none"
"PORTLAND-HILLSBORO ARPT","Oregon",292,"none"
"PANGBORN MEMORIAL","Washington",293,"none"
"TRI-CITIES","Washington",294,"none"
"PURDUE UNIV ARPT","Indiana",295,"none"
"DAYTONA BEACH INTL","Florida",296,"none"
"EASTERWOOD FIELD AIRPORT","Texas",297,"none"
"MANAGUA INTL ARPT","N/A",298,"none"
"HENRY E ROHLSEN ARPT","Virgin Islands",299,"none"
"IMPERIAL COUNTY ARPT","California",300,"none"
"KLAMATH FALLS INTL","Oregon",301,"none"
"FAIRBANKS INTL ARPT","Alaska",302,"none"
"EUGENIO MARIA DE HOSTOS ARPT","Puerto Rico",303,"none"
"MISSOULA INTL ARPT","Montana",304,"none"
"DUBUQUE REGIONAL ARPT","Iowa",305,"none"
"SAND POINT ARPT","Alaska",306,"none"
"MONETT MUNICIPAL ARPT","Missouri",307,"none"
"WATERBURY-OXFORD ARPT","Connecticut",308,"none"
"AKRON-CANTON MUNICIPAL","Ohio",309,"none"
"READING REGIONAL","Pennsylvania",310,"none"
"COLUMBUS METRO","Georgia",311,"none"
"NANTUCKET MEMORIAL","Massachusetts",312,"none"
"ROCKY MOUNTAIN METROPOLITAN ARPT","Colorado",313,"none"
"COLUMBIA METRO","South Carolina",314,"none"
"WILLIAMSPORT","Pennsylvania",315,"none"
"BUSH FLD","Georgia",316,"none"
"INDIANAPOLIS METROPOLITAN ARPT","Indiana",317,"none"
"BISHOP INTL FLINT","Michigan",318,"none"
